Week,dengue-incidence,_interpolatedadmiralty,_interpolatedang-mo-kio,_interpolatedboon-lay-east,_interpolatedchangi,_interpolatedchoa-chu-kang-south,_interpolatedclementi,_interpolatedeast-coast-parkway,_interpolatedkhatib,_interpolatedmarina-barrage,_interpolatednewton,_interpolatedpasir-panjang,_interpolatedseletar,_interpolatedsembawang,_interpolatedtai-seng,_interpolatedtengah,_interpolatedtuas-south,_zeroed_admiralty,_zeroed_ang-mo-kio,_zeroed_boon-lay-east,_zeroed_changi,_zeroed_choa-chu-kang-south,_zeroed_clementi,_zeroed_east-coast-parkway,_zeroed_khatib,_zeroed_marina-barrage,_zeroed_newton,_zeroed_pasir-panjang,_zeroed_seletar,_zeroed_sembawang,_zeroed_tai-seng,_zeroed_tengah,_zeroed_tuas-south,admiralty,ang-mo-kio,boon-lay-east,changi,choa-chu-kang-south,clementi,east-coast-parkway,marina-barrage,newton,pasir-panjang,seletar,sembawang,tai-seng,tengah,total-population
1,-0.005161501088022601,-0.04829486616285216,-0.047810193759205,-0.04731575793267461,-0.04669461641795822,-0.04751052953297353,-0.047300477811116945,-0.04683472220263225,-0.04807625356086428,-0.046807054863324725,-0.04659811500236701,-0.04791291798541173,-0.04798238215544493,-0.0483527946073216,-0.04683341083893623,-0.047496673809356654,-0.048100946363430624,-0.011979356343808279,0.012462851116863183,-0.03066618926262142,0.02091987086002796,-0.01328294895090245,-0.009605063592499023,-0.12164478593179691,-0.08821929280361147,0.0012074207148348554,-0.008059775189842024,-0.09769539078156288,0.0009547396489238669,0.015223095847297875,0.02737221474555246,-0.020302560204899754,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
2,-0.005334622830313728,-0.04829486616285216,-0.047810193759205,-0.04881309204446811,-0.04757564691641026,-0.04874456926110271,-0.04852113530301674,-0.047718396206455495,-0.04807625356086428,-0.047673852175608517,-0.047488524843176574,-0.04850810951318082,-0.04798238215544493,-0.0483527946073216,-0.04770608309059343,-0.04873035364856072,-0.04870598971391402,-0.020963873601664497,-0.03547119164030294,-0.0536658312095875,-0.09413941887012588,-0.0475972337407338,-0.026680732201386163,-0.12164478593179691,-0.08821929280361147,0.002414841429669711,-0.05066144405043563,-0.09769539078156288,0.08306234945637672,-0.043878335089270366,-0.09466224266170223,-0.06960877784537055,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
3,-0.0052109644429629235,-0.04829486616285216,-0.047810193759205,-0.049412025689185506,-0.04728197008359291,-0.0493615891251673,-0.04913146404896663,-0.047423838205181076,-0.04807625356086428,-0.047384919738180584,-0.04719172156290672,-0.049103301040949905,-0.04798238215544493,-0.0483527946073216,-0.04741519234004103,-0.04934719356816275,-0.04931103306439742,0.1028228086176878,0.10162017064519216,-0.012047431496029845,-0.03486645143337996,0.0033207372377256224,0.007470605016388118,-0.12164478593179691,-0.08821929280361147,-0.01448904857801833,-0.003454189367075145,-0.09769539078156288,0.08879078734991992,0.06447428829443808,0.0,-0.02126934878608545,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
4,-0.0052109644429629235,-0.04829486616285216,-0.047810193759205,-0.04971149251154421,-0.04816300058204495,-0.049670099057199595,-0.04943662842194158,-0.048307512209004325,-0.04807625356086428,-0.048251717050464375,-0.04808213140371628,-0.049400896804834456,-0.04798238215544493,-0.0483527946073216,-0.04828786459169823,-0.04965561352796377,-0.04961355473963913,-0.08984517257856214,0.08628127696289903,-0.08980812569767704,0.1057615693479192,-0.09962211713176844,-0.04162194223416242,-0.12164478593179691,-0.08821929280361147,-0.018111310722522898,-0.029936307847984688,-0.09769539078156288,-0.021004272276325158,-0.08865214640485236,0.10150529634809037,-0.0928117037938274,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
5,-0.005260427797903246,-0.04950223781692346,-0.04870106693484236,-0.050310426156261606,-0.04904403108049699,-0.05028711892126419,-0.050046957167891475,-0.04919118621282758,-0.048977683315130485,-0.04911851436274817,-0.048972541244525845,-0.04999608833260354,-0.048865493483459255,-0.04957691598978543,-0.04916053684335543,-0.050272453447565806,-0.05021859809012253,-0.07686753653943651,-0.07190106413574919,-0.09747467301333239,-0.07670619315343591,-0.08633916818086597,-0.059764840131105,-0.12164478593179691,-0.08821929280361147,-0.08331202932360533,-0.08059775189842033,-0.09769539078156288,-0.06301281682897544,-0.0626833358418148,-0.08211664423665736,-0.08217702940078467,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
6,-0.00511203773308228,-0.04738933742229868,-0.04721627830878009,-0.047914691577392005,-0.046988293250775554,-0.04781903946500582,-0.04760564218409189,-0.04712928020390665,-0.04747530039135348,-0.047095987300752644,-0.04689491828263686,-0.04761532222152718,-0.04739364127010205,-0.04743470357047372,-0.047124301589488625,-0.04780509376915767,-0.047798424688188915,-0.009982796953173572,0.04601668104687949,-0.07995113629183444,-0.039515311624497285,-0.05645253304133544,-0.0042689171522217895,-0.12164478593179691,-0.08821929280361147,-0.08693429146810992,-0.08290054480980376,-0.09769539078156288,0.06874125472251867,0.050146668673451855,-0.06843053686388113,-0.05994089203351353,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
7,-0.005458281217664534,-0.04588012285470955,-0.04573148968271783,-0.04611789064323981,-0.04522623225387148,-0.04596797987281205,-0.04577465594624221,-0.04536193219626016,-0.04597291746757647,-0.04536239267618507,-0.04511409860101775,-0.04582974763821992,-0.04592178905674484,-0.04590455184239392,-0.04537895708617424,-0.04595457401035157,-0.04598329463673871,-0.0748709771488018,-0.0508100853225961,-0.05476105225468112,-0.040677526672276615,-0.048704146153309015,-0.10565569951748921,-0.12164478593179691,-0.08821929280361147,-0.09538623647195393,-0.10707987037932985,-0.09769539078156288,0.09070026664776766,-0.005372857357869837,-0.06614951896841842,-0.053173371965213614,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
8,-0.005186232765492763,-0.04920039490340564,-0.049294982385267264,-0.049412025689185506,-0.04904403108049699,-0.0493615891251673,-0.04913146404896663,-0.04919118621282758,-0.04957863648464129,-0.04911851436274817,-0.048972541244525845,-0.049400896804834456,-0.049454234368802134,-0.04927088564416948,-0.04916053684335543,-0.04934719356816275,-0.04931103306439742,0.05490538324245465,0.029719106509442993,0.006571326270561751,0.06392182762786325,-0.044276496503008196,0.026680732201386163,-0.12164478593179691,-0.08821929280361147,0.12074207148348598,0.06332680506304457,-0.09769539078156288,0.12125193541333154,0.025073334336725928,-0.01938865211143298,-0.05897410345232782,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
9,-0.005235696120433084,-0.04437090828712042,-0.04484061650708046,-0.04492002335380501,-0.04493255542105413,-0.04473394014468286,-0.04455399845434241,-0.04506737419498574,-0.045071487713310265,-0.045073460238757135,-0.04481729532074789,-0.04463936458268173,-0.04503867772873052,-0.04437440011431413,-0.04508806633562184,-0.044720894171147496,-0.04477320793577189,-0.1048193680083225,-0.10066148979004887,-0.07666547315655357,-0.04183974172005595,-0.09740829230661803,-0.11312630453387733,-0.12164478593179691,-0.08821929280361147,-0.09176397432744936,-0.0794463554427286,-0.09769539078156288,-0.05919385823327996,-0.10477071847846188,-0.07413308160253788,-0.08121024081959896,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
10,-0.005309891152843567,-0.04105063623842434,-0.04187103925495593,-0.04132642148550061,-0.0428768175913327,-0.04103182096029532,-0.04089202597864303,-0.04300546818606483,-0.042066721865756246,-0.043050933176761626,-0.042739672358858914,-0.04106821541606719,-0.04209497330201611,-0.041008066312538574,-0.043051831081755046,-0.04101985465353529,-0.04114294783287147,-0.11480216496149608,-0.10833093663119545,-0.12814086227595384,-0.11389707468237452,-0.12729492744614856,-0.12273136812637635,-0.12164478593179691,-0.08821929280361147,-0.12436433362799057,-0.12665361012608908,-0.09769539078156288,-0.10884031997732121,-0.1074571471573968,-0.11747242161632927,-0.11408105257991283,-0.11017415992203068,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.027566666666666666,0.03991,0.016298333333333335,0.010333333333333333,0.03499833333333333,0.07423,0.00011166666666666667,0.6713145
